Formula,Stearic_Acid_%,Beeswax_%,Liquid_Paraffin_%,Lanolin_%,Triethanolamine_%,Sorbitol_%,Disodium_EDTA_%,Methylparaben_%,Propylene_Glycol_%,Propylparaben_%,Tween_80_%,Water_%,Perfume_%,Viscosity_cps,pH,Spreadability_cm,Washability_sec,HLB,Stability,Data_Source,Evidence_DOI
F0203,13.1562,2.792,25.207,2.7838,2.185,1.7368,1.9295,0.0408,4.0869,0.0202,1.7993,43.2585,1.004,2667.9,6.16,8.56,10.7,11.74,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0204,14.6121,3.283,19.0834,2.4451,2.0643,1.9675,2.0189,0.042,4.1558,0.0217,1.9254,47.4565,0.9244,2413.2,6.47,8.48,8.3,12.03,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0205,14.5269,2.5909,22.0487,2.5722,1.7028,1.9355,1.7342,0.0409,4.415,0.0221,2.0756,45.2367,1.0984,2588.6,6.05,8.53,9.8,11.97,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0206,14.6657,3.564,16.3976,2.9987,1.8519,2.0399,1.7674,0.0394,3.1034,0.017,1.5542,51.0228,0.978,2374.3,6.51,8.34,6.4,12.03,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0207,12.6408,0.9816,20.8207,2.7912,2.3764,2.2429,2.3731,0.0409,3.8853,0.0227,1.9726,48.8949,0.957,2089,6.16,8,5.8,11.96,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0208,9.5768,1.2,25.2708,2.4463,1.738,2.0236,1.6352,0.0319,3.6312,0.0172,1.8588,49.7576,0.8127,2389.8,6,8.68,8.1,11.6,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0209,11.967,2.2175,18.6412,2.9096,1.8495,2.1534,1.7026,0.0383,3.8781,0.021,2.0073,51.5511,1.0634,2155.4,6.37,7.9,6.9,11.89,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0210,16.423,3.3224,20.5866,2.4986,1.8275,1.9663,1.8293,0.0365,4.0388,0.0176,2.0313,44.5528,0.8694,2677.1,6.45,9.27,10.7,12.1,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0211,15.9709,1.0852,22.5013,2.7853,1.808,1.8924,1.6667,0.0368,3.4883,0.019,1.6185,46.3063,0.8212,2703.6,6.02,8.92,9.4,12.1,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0212,10.6147,3.2419,25.6079,2.6474,1.5429,1.6629,1.8823,0.0332,3.0278,0.0176,1.9069,47.0347,0.7798,2571.5,6.44,8.77,9.1,11.54,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0213,12.2528,1.5269,18.3912,3.4046,2.2219,2.1206,2.1959,0.0366,4.0341,0.0195,1.7937,50.8521,1.1502,1985,5.99,7.74,7.2,11.91,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0214,14.3491,3.3295,20.7486,3.1232,2.0462,2.1509,2.4034,0.0452,4.0522,0.023,1.8836,44.8927,0.9524,2201.5,6.46,8.27,8.1,11.89,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0215,15.073,2.4671,19.9166,2.7637,2.1741,2.1015,2.3591,0.0385,3.6722,0.0211,1.9726,46.2979,1.1428,2289.8,6.01,8.21,7.1,12.06,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0216,13.2367,3.3756,23.0511,3.2748,1.8023,2.1966,1.8702,0.0428,4.1411,0.0229,1.9618,44.1552,0.8688,2435.9,6.18,8.46,9.3,11.74,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0217,11.0677,0.6092,25.6191,2.733,1.9601,1.6126,1.7927,0.0366,3.2794,0.0192,1.9674,48.3735,0.9295,2603.2,6.01,8.84,10.7,11.73,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0218,14.3219,3.7917,20.7852,2.7302,1.6704,1.8791,1.7749,0.0364,4.2077,0.0216,1.7317,45.9703,1.0789,2414.3,6.5,8.62,5.8,11.88,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0219,11.6705,2.1456,25.2868,3.1445,2.0979,1.995,2.1859,0.0427,4.1995,0.0169,1.661,44.5312,1.0225,2328.8,6.05,8.26,8.5,11.63,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0220,15.0528,1.4769,19.6659,2.633,1.8469,1.898,2.1312,0.0344,4.1508,0.0196,1.8154,48.364,0.9112,2631.6,6.19,8.17,7.7,12.14,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0221,11.2746,2.734,22.9033,2.9959,1.9386,1.8037,1.8516,0.0396,3.43,0.0168,1.5088,48.5391,0.964,2443,6.07,8.74,9.3,11.63,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0222,17.7162,1.3204,18.6715,3.0632,2.1279,1.7071,2.0802,0.0401,3.4986,0.0179,2.0261,46.6076,1.1234,2407,5.92,8.16,9.5,12.33,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0223,11.8949,2.7063,21.1816,3.0914,1.9289,2.2095,2.2078,0.04,3.8477,0.0193,2.1987,47.7548,0.9191,2076.4,6.43,8.13,7.4,11.77,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0224,10.9488,1.7631,25.7684,3.0617,1.7961,1.8377,1.7507,0.042,3.2952,0.021,1.9631,46.9524,0.7998,2438.2,6.12,8.23,6.7,11.61,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0225,15.703,2.2194,23.4867,2.3079,1.7238,1.564,1.8272,0.04,3.7064,0.0154,1.6904,44.8576,0.8581,2946.4,5.93,9.39,12.9,12.02,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0226,12.7976,1.0201,23.654,3.105,2.2375,2.2262,1.8513,0.0412,3.8449,0.0191,2.3341,45.8322,1.0369,2238.7,6.23,7.96,6.9,11.88,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0227,15.5074,1.1847,25.1368,2.9767,1.9751,1.827,1.8241,0.0341,3.7773,0.0177,1.8492,42.951,0.9388,2967.4,5.98,9.42,12.8,11.98,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0228,16.6673,2.0553,22.4274,3.3554,1.8408,2.1947,1.9797,0.04,3.7499,0.0203,1.8849,42.8576,0.9266,2725.5,5.97,8.79,10.9,12.05,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0229,14.0956,3.0619,26.9289,2.6691,1.9902,1.7055,2.1042,0.0315,3.7826,0.0192,1.9378,40.6356,1.0378,2886.8,6.2,9.41,10.3,11.76,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0230,13.7592,1.9324,19.0736,2.5886,1.8677,2.0626,2.1434,0.0335,3.7067,0.0169,1.6371,50.1915,0.9868,2399.4,6.2,8.21,7.3,12.03,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0231,18.1714,2.1152,19.4194,2.6983,2.1336,2.0202,1.7921,0.0428,3.5625,0.0227,1.9661,44.9846,1.0713,2504.8,5.82,8.58,9.2,12.3,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0232,13.4201,1.3039,24.6998,2.4718,1.7379,1.4814,1.6743,0.0377,3.7385,0.0157,1.5715,46.8807,0.9667,2895.7,6.14,9.27,10.6,11.87,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0233,9.7633,1.206,24.7369,2.3759,1.8263,1.7986,1.7394,0.0354,3.6936,0.0164,1.8699,49.9517,0.9866,2222.6,5.79,8.56,7.3,11.63,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0234,13.6497,2.9948,19.2181,2.6555,1.9909,2.1793,1.8684,0.0429,3.8187,0.023,2.3018,48.3115,0.9455,2196.7,6.45,7.76,6.8,11.99,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0235,13.4688,2.979,19.929,2.3556,1.8759,1.6776,1.8409,0.0326,3.0619,0.0201,1.5703,50.1873,1.0008,2688,6.58,8.82,9.8,11.93,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0236,11.1514,1.9831,23.0286,2.644,1.7715,1.7187,1.8458,0.04,3.2976,0.0205,1.9137,49.6643,0.9207,2411,5.95,8.41,9.2,11.72,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0237,16.0546,0.9009,18.5086,3.2549,1.9961,2.0946,1.7972,0.04,3.9017,0.0196,2.0011,48.5024,0.9284,2412.4,6.05,8.74,8.2,12.25,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0238,11.183,2.5691,25.4114,2.5886,1.6359,1.6761,1.9447,0.0416,3.255,0.0202,1.795,46.8158,1.0636,2309.8,5.98,8.62,11,11.62,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0239,14.7875,1.2272,22.154,3.2355,2.3429,1.7786,2.2967,0.0421,4.1907,0.0206,1.7904,45.0747,1.0591,2463.5,5.74,8.6,8.6,12,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0240,14.9534,1.5197,23.1237,3.0235,2.1312,2.0695,2.0034,0.0401,4.3146,0.0179,1.618,44.3142,0.8709,2813.2,5.97,9.13,10.6,11.96,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0241,14.6667,1.5751,24.0711,2.8267,1.7656,1.6499,1.6275,0.0407,4.1712,0.0194,1.6326,44.9635,0.9901,2840,5.78,8.96,9.2,11.93,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0242,9.8281,2.3707,27.4458,3.319,1.9839,1.954,1.7034,0.0395,3.751,0.0201,1.8806,44.8494,0.8546,2132,6.39,8.51,6,11.44,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0243,14.9153,3.4985,21.942,2.8807,1.6647,1.6536,1.7046,0.0369,3.7037,0.0166,1.5627,45.6406,0.78,2814,6.73,9.44,12.5,11.88,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0244,16.0075,2.1678,25.226,2.9288,1.7079,1.6169,1.7633,0.0371,3.9027,0.0208,1.7134,41.8343,1.0736,2864.9,6.38,9.22,13.3,11.94,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0245,11.5388,0.8571,20.7989,3.3219,2.1879,1.9867,2.2484,0.0473,3.7244,0.0216,2.2818,49.9679,1.0173,1840.4,5.94,8.04,8.5,11.86,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0246,15.353,1.7836,24.8988,2.8779,1.758,2.0556,1.9711,0.0371,4.355,0.0166,1.8312,42.0155,1.0466,2889.4,5.88,8.79,11.2,11.95,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0247,14.9981,2.0037,21.4433,3.169,1.7292,1.6561,1.9163,0.0426,3.6008,0.0162,1.7788,46.806,0.8397,2661.5,5.96,8.33,7.8,11.99,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0248,16.5227,1.9464,21.9261,3.0436,1.9026,2.0224,1.6816,0.0424,4.3844,0.0202,2.2004,43.3457,0.9616,2813.4,5.8,9.17,9.6,12.11,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0249,10.6243,1.8635,19.2449,3.0971,1.7606,1.6737,1.9594,0.0397,4.2887,0.0197,1.8397,52.6124,0.9762,1906.1,6.03,7.99,7.8,11.75,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0250,12.509,1.1,20.0391,2.9724,2.0804,1.7679,2.2891,0.0435,4.1499,0.0222,1.7677,50.2082,1.0507,2189,5.96,8.2,7.5,11.94,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0251,10.0128,3.2561,27.0032,2.4675,1.9427,1.5702,1.7697,0.0366,3.7309,0.0206,1.9155,45.2788,0.9953,2352.2,6.28,8.75,8.2,11.48,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0252,14.7413,1.8439,18.1496,3.0059,2.1807,1.8777,1.7802,0.0382,3.3644,0.0213,2.1363,49.9303,0.93,2512.2,6.18,8.33,9.2,12.14,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0253,14.831,2.4013,20.9314,3.1094,1.845,1.88,1.6697,0.0378,3.7233,0.0165,1.5817,46.9895,0.9833,2725,6.13,8.47,8.7,11.96,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0254,14.2228,1.2142,21.2413,2.871,2.0303,1.8187,2.0372,0.0422,4.1823,0.0203,2.3155,46.9516,1.0526,2437.7,5.97,8.62,10,12.06,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0255,18.1948,0.7879,19.7363,2.6653,1.8641,2.0839,2.1483,0.0356,4.6677,0.0227,1.9328,44.9333,0.9273,2413.2,5.93,8.24,7.9,12.39,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0256,11.0961,1.8917,24.5587,2.6087,1.6957,2.0939,2.0768,0.0388,3.9717,0.0194,1.7076,47.3414,0.8995,2249.9,5.87,8.75,7.7,11.67,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0257,11.5259,0.9008,19.5225,3.1662,2.0411,1.9652,1.9234,0.0437,3.3789,0.0181,1.8506,52.5515,1.1121,2069.8,5.8,8.18,8.2,11.88,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0258,11.3201,1.7098,25.5137,2.3274,1.8699,1.6305,1.8347,0.0335,3.5124,0.0189,1.8724,47.6121,0.7446,2817.1,6.3,8.94,7.6,11.71,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0259,11.0952,1.986,25.1395,2.242,1.7666,1.6259,1.4935,0.0301,3.809,0.0187,1.8832,48.1445,0.7657,2735.2,5.62,9.44,11,11.69,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0260,11.6276,2.3674,22.5158,2.4365,1.7927,1.837,1.8461,0.033,3.8788,0.0155,1.7292,48.9991,0.9213,2430.8,6.44,8.82,9.9,11.75,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0261,15.181,2.5566,22.8076,2.5523,1.775,1.8655,1.9689,0.0384,3.5809,0.0163,1.9098,44.7244,1.0233,2721.2,6.07,8.86,9.6,11.98,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0262,13.5181,2.2268,20.6196,2.72,2.0161,1.6376,1.5437,0.0399,3.6869,0.0201,1.8542,49.2351,0.8819,2650,5.95,8.73,9.6,11.94,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0263,12.1746,1.2779,21.0041,2.8314,2.0371,2.0569,1.9598,0.0415,3.5049,0.0176,1.8067,50.3715,0.916,2098.9,6.21,8.02,8.3,11.89,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0264,15.1539,3.4871,16.8666,2.4858,2.0635,1.8262,1.8851,0.0388,3.8972,0.0209,2.1249,49.2845,0.8656,2418.8,6.35,8.44,7.7,12.15,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0265,10.3314,3.2757,22.3288,2.9375,1.715,2.0047,2.0058,0.0351,3.6216,0.017,2.1267,48.5489,1.0516,2012,6.47,8.57,10,11.59,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0266,16.2747,1.7795,17.9673,2.8964,1.9627,1.8777,1.6748,0.0368,3.4657,0.018,1.9163,49.2857,0.8444,2512.7,6.24,8.3,7.3,12.25,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0267,16.1877,1.7419,25.3164,3.1462,2.0688,1.6959,2.1308,0.0361,3.5677,0.0163,1.8664,41.3595,0.8664,2883,6,9.5,12.5,11.97,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0268,15.614,3.253,25.1531,2.4824,1.9568,2.0983,1.9525,0.0352,3.7029,0.0193,1.857,41.0021,0.8734,2934.6,6.64,9.34,9.9,11.9,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0269,14.5494,3.0532,26.6638,2.5726,2.0124,1.6162,1.9288,0.039,3.8278,0.0168,2.0204,40.9128,0.7869,3101.2,6.29,9.33,12.3,11.81,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0270,11.3391,3.4417,24.5714,2.7186,2.1309,2.0054,2.0613,0.0395,4.3917,0.022,2.1243,44.0532,1.101,2204,6.47,8.7,8.9,11.62,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0271,15.3061,0.9519,22.1735,3.2425,1.674,2.2053,2.0412,0.0403,3.6076,0.0179,2.194,45.4971,1.0486,2590.6,5.9,8.52,8.4,12.07,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0272,17.041,1.7753,21.3286,2.7368,1.9258,1.88,2.1322,0.0383,3.837,0.0171,2.1912,44.262,0.8345,2777.8,5.79,9.11,8.6,12.2,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0273,13.6978,1.0647,23.4261,2.6367,1.6418,1.6615,1.5599,0.0362,3.3785,0.0159,1.7312,48.3246,0.825,2934.5,5.67,9.21,10.4,11.94,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0274,9.273,3.4406,26.077,2.9836,1.6695,1.6431,1.6137,0.0396,4.1856,0.0182,1.6424,46.5288,0.8851,1890.3,6.21,8.94,10.3,11.37,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0275,10.249,3.9669,20.7204,2.5894,1.8076,1.7174,1.9284,0.0435,3.7962,0.0196,2.098,49.9591,1.1046,1723.5,6.39,7.92,7.1,11.61,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0276,17.1607,3.0356,20.122,2.91,2.2011,2.1236,1.6862,0.0407,3.6581,0.0163,1.8624,44.1324,1.0507,2611.3,6.25,9,9.4,12.13,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0277,9.688,1.1357,22.6608,2.5835,1.7918,1.7695,2.0446,0.0412,3.667,0.0174,1.6206,52.1823,0.7975,2026.2,5.76,8.13,6.9,11.65,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0278,15.4812,0.9675,24.3839,2.5332,1.6583,2.1374,1.7266,0.0417,3.8582,0.0166,2.1637,43.9771,1.0545,2747,5.89,9.11,10.1,12.07,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0279,14.694,3.4365,26.295,2.9902,2.0309,1.6549,1.7013,0.0341,3.5039,0.0176,1.8434,40.8364,0.9617,2896.4,6.72,9.24,10.9,11.76,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0280,15.6105,2.7412,19.4882,2.984,1.7189,1.8895,1.9108,0.0338,3.6573,0.0223,2.2286,46.8685,0.8464,2474.5,6.21,8.38,8.5,12.09,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0281,15.1623,1.6118,23.1917,2.4279,1.7639,1.5419,1.5184,0.0384,3.8234,0.019,1.7628,46.3989,0.7396,2864.9,5.82,9.11,11.9,12.03,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0282,10.6245,2.4956,26.3737,2.7481,1.6897,1.7264,1.7497,0.0357,3.9612,0.0196,2.011,45.5228,1.0419,2263,6.06,8.69,9.7,11.56,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0283,11.3083,3.7468,22.9881,3.2904,1.7829,2.1975,1.9642,0.036,4.2949,0.0192,2.0083,45.4339,0.9294,1883.5,6.14,8.03,7.1,11.58,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0284,12.7638,3.8395,20.4241,3.5022,1.8677,2.197,2.0772,0.0457,4.1634,0.0207,1.8614,46.085,1.1522,1994.5,6.26,7.87,7.9,11.72,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0285,16.0329,2.8295,22.9066,3.0423,1.5743,1.6876,1.8011,0.0334,3.9068,0.0205,1.7786,43.3503,1.0361,2680.1,6.49,9.03,10,11.97,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0286,12.4535,2.7312,23.7417,2.4456,1.6776,1.8906,1.6414,0.0373,3.8761,0.0177,1.8357,46.7072,0.9444,2803.4,6.62,8.95,9,11.76,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0287,13.4919,3.1208,22.1022,3.0958,1.7971,2.1321,2.0109,0.0362,3.7197,0.0213,1.9733,45.3677,1.1309,2282.2,6.31,8.26,8.9,11.81,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0288,14.7716,1.3749,22.038,2.5104,1.7203,1.6043,1.626,0.0431,3.4818,0.0198,2.0787,47.8858,0.8452,2759.1,6.16,8.92,10.7,12.07,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0289,16.4208,2.3521,20.3835,2.8903,1.6059,2.0646,1.6341,0.035,4.0389,0.019,1.7858,45.7497,1.0204,2677.8,6.27,9.07,10.2,12.12,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0290,15.5818,1.1312,21.5095,2.5062,1.9722,1.8768,1.9325,0.0338,3.3931,0.016,1.758,47.2606,1.0283,2779.9,5.96,8.71,10.1,12.14,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0291,10.777,0.696,23.8491,2.3741,1.6799,1.803,1.8201,0.0368,3.2136,0.0172,1.8484,50.9311,0.9538,2439.1,5.6,8.73,9.7,11.77,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0292,14.1367,2.5072,23.2605,2.7574,1.8598,1.7523,1.8546,0.0335,4.0254,0.0167,1.6143,45.2158,0.9657,2747.8,5.86,8.55,9.6,11.87,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0293,15.1694,3.2462,20.8726,2.4714,1.8609,1.4959,1.7242,0.033,3.913,0.0148,1.7649,46.5689,0.8648,2781.2,6.48,9.55,10.2,12,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0294,14.6408,0.9315,21.0066,3.6007,2.0097,1.9803,2.183,0.0471,3.7867,0.0223,1.9308,46.9168,0.9437,2210.3,5.79,8.13,8.2,12.02,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0295,12.0933,0.6653,21.1497,2.7759,1.847,1.7176,1.7084,0.0319,3.4725,0.0159,1.9532,51.5375,1.0318,2490,5.65,8.6,9.9,11.93,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0296,13.9376,1.9909,22.0319,2.9939,1.7314,1.7515,2.0887,0.0321,3.6893,0.0208,1.914,46.9611,0.8568,2661,6.26,8.95,13,11.92,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0297,9.7272,0.5897,26.6358,2.6031,1.8577,1.5747,1.9009,0.0407,3.6856,0.016,1.8461,48.6469,0.8757,2397.9,5.87,8.92,10.7,11.6,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0298,10.8928,1.6294,20.1304,3.3199,2.1255,2.0758,1.8538,0.0357,4.2463,0.0196,1.8093,51.0117,0.8498,1866.7,5.94,7.93,6.5,11.74,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0299,10.5596,2.9194,20.9826,2.7778,1.5552,1.5625,1.7867,0.0398,4.0522,0.0159,1.8371,51.0337,0.8776,2160.1,6.31,8.28,8.4,11.65,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0300,12.5573,3.6871,20.7291,2.7717,2.063,2.1006,2.1964,0.0355,4.2394,0.0209,1.6911,46.9985,0.9095,2268.9,6.4,8.58,9.1,11.76,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0301,14.1394,1.7895,24.493,2.3366,1.9542,1.5774,1.633,0.0371,3.3357,0.0178,1.6941,46.201,0.7912,2966.6,5.86,9.3,11,11.91,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
